CustomerID,Surname,NetworkScore,Region,Gender,Age,Tenure,MonthlyCharge,NumOfProducts,HasInternetService,IsActiveMember,EstimatedMonthlyUsage,Exited
4055,Oliver,1.0,South,Female,26.0,3,75.98,2,1,0.0,283.4,1
4135,Rodriguez,72.0,North,Male,56.0,0,189.19,1,1,1.0,821.84,0
2683,Obrien,55.0,South,Other,61.0,0,124.87,4,1,0.0,139.6,1
1155,Campbell,100.0,West,Female,63.0,16,140.5,3,1,0.0,353.59,1
3234,Mora,47.0,North,Male,,10,37.86,1,1,0.0,527.4,1
4883,Navarro,68.0,West,Other,26.0,8,27.29,2,1,1.0,938.26,0
2502,Lewis,87.0,South,Female,33.0,13,96.45,1,0,0.0,406.21,1
3975,Thomas,18.0,East,Male,27.0,16,49.58,1,1,0.0,867.57,1
2610,Raymond,69.0,West,Other,33.0,18,75.95,4,0,0.0,747.07,0
1319,Hamilton,,North,Female,60.0,12,106.13,1,0,0.0,402.91,0
4842,Stevenson,56.0,East,Male,19.0,7,173.35,1,0,1.0,481.34,1
5570,Johnson,71.0,North,Female,61.0,10,45.92,3,0,0.0,552.34,1
5352,Escobar,29.0,West,Male,33.0,6,138.93,4,1,0.0,610.0,1
5262,Beck,33.0,East,Other,35.0,2,60.9,4,0,1.0,399.29,0
5363,Torres,90.0,East,Male,29.0,16,179.52,3,0,1.0,939.48,0
3342,Martinez,4.0,West,Female,27.0,7,161.15,3,1,0.0,771.73,1
355,Robinson,38.0,North,Male,40.0,11,33.68,3,1,0.0,144.53,0
1193,Brown,80.0,West,Other,20.0,9,23.38,4,1,1.0,745.8,1
937,Allen,8.0,South,Female,44.0,3,181.35,4,1,1.0,603.57,1
617,Ryan,94.0,South,Male,35.0,8,184.03,1,1,0.0,162.99,0
4003,Hood,21.0,South,Female,56.0,15,95.51,3,1,1.0,143.4,1
5799,Wood,15.0,North,Other,28.0,11,120.77,1,0,1.0,646.54,1
2200,Watkins,47.0,South,Female,30.0,19,163.28,4,1,0.0,201.91,1
5539,Robinson,73.0,East,Other,,11,127.31,3,1,0.0,932.6,0
5389,Martinez,59.0,South,Male,36.0,8,87.46,2,1,1.0,985.33,0
2706,Juarez,1.0,East,Female,54.0,15,79.27,1,0,1.0,690.14,1
5709,Garcia,37.0,East,Other,21.0,14,82.5,1,0,0.0,620.48,1
5494,Barnes,20.0,North,Male,53.0,3,88.27,1,0,0.0,152.3,0
3128,Anderson,23.0,North,Other,52.0,18,27.7,1,1,1.0,,0
5714,Ross,54.0,East,Male,40.0,5,64.06,2,0,0.0,564.71,0
31,Hill,28.0,West,Other,21.0,10,45.85,2,0,1.0,618.59,1
3777,Vasquez,92.0,South,Other,60.0,13,135.3,4,0,0.0,770.12,1
2452,Blevins,56.0,South,Male,37.0,1,156.99,2,1,0.0,410.89,1
126,Farrell,24.0,West,Male,66.0,17,183.66,4,0,0.0,146.58,0
3995,Scott,37.0,West,Male,65.0,10,165.02,4,1,0.0,798.95,0
1926,Stevenson,93.0,North,Female,53.0,18,124.87,3,0,1.0,104.75,1
83,Burch,63.0,East,Female,55.0,13,59.66,1,1,0.0,412.7,0
3426,Brown,73.0,West,Female,27.0,3,110.83,3,0,1.0,444.06,1
5317,Mendez,60.0,East,Male,,18,128.56,2,0,0.0,267.75,0
1143,Schaefer,8.0,West,Other,36.0,10,155.54,2,1,0.0,897.85,1
4490,Watson,93.0,West,Male,49.0,1,196.34,1,0,0.0,557.92,1
588,Smith,33.0,South,Other,42.0,4,105.61,2,0,1.0,601.29,0
4256,Blackburn,83.0,West,Other,36.0,5,87.51,2,1,1.0,,0
605,Cooper,43.0,East,Female,54.0,18,188.81,3,1,1.0,120.85,1
1771,Nichols,91.0,East,Female,,17,25.28,4,0,1.0,659.86,0
4999,Thomas,,South,Male,54.0,14,128.16,4,0,1.0,274.05,0
4534,Pham,28.0,West,Female,29.0,16,118.52,4,0,1.0,349.17,1
4690,Watson,17.0,North,Male,33.0,3,158.58,4,1,0.0,848.55,1
170,Martinez,24.0,North,Other,46.0,20,174.34,1,1,1.0,560.62,1
4460,Dominguez,38.0,West,Male,18.0,6,81.01,3,1,0.0,363.42,1
343,Smith,,East,Other,23.0,4,53.29,4,1,0.0,832.6,1
4541,Moreno,91.0,West,Male,64.0,11,36.44,1,0,1.0,423.28,0
4269,Nelson,43.0,West,Other,22.0,0,118.9,1,0,1.0,133.99,0
4700,Sweeney,3.0,West,Male,46.0,14,89.46,4,1,1.0,519.24,0
3963,Rivas,19.0,West,Female,50.0,8,102.33,3,0,,807.07,0
4727,Compton,32.0,West,Other,39.0,12,91.81,1,1,0.0,456.72,0
5912,Reeves,84.0,South,Other,19.0,18,146.34,4,1,,136.35,1
335,Morales,17.0,South,Male,28.0,15,177.13,3,1,0.0,283.66,1
1569,Acosta,35.0,West,Female,54.0,19,153.17,2,0,,631.06,1
36,Snyder,55.0,South,Other,48.0,11,30.23,2,1,0.0,999.16,1
2925,Johnson,,North,Male,61.0,4,189.05,4,1,0.0,369.02,1
5215,Wheeler,41.0,South,Male,36.0,12,125.01,1,0,0.0,707.14,0
3326,Combs,52.0,South,Other,61.0,10,81.34,1,0,1.0,441.24,0
1358,Griffith,47.0,East,Female,24.0,13,130.07,2,1,1.0,764.37,1
5830,Scott,85.0,West,Female,64.0,18,163.39,3,1,1.0,254.31,1
2041,Flores,59.0,East,Female,61.0,11,162.91,2,1,0.0,689.69,1
3905,Stevenson,43.0,South,Female,51.0,7,173.65,1,1,1.0,290.3,0
3190,Gould,74.0,North,Female,57.0,8,150.12,1,1,0.0,662.76,1
1840,Byrd,95.0,East,Female,70.0,10,99.84,1,0,0.0,504.73,1
5457,Davis,85.0,West,Male,55.0,6,159.38,3,1,0.0,646.34,0
5168,Barnes,54.0,North,Other,58.0,10,105.57,1,1,1.0,852.79,0
4114,Smith,56.0,North,Male,36.0,13,97.06,2,0,0.0,655.65,0
1823,Moreno,99.0,South,Male,32.0,2,179.29,3,0,1.0,807.45,0
3199,Hernandez,85.0,East,Male,22.0,16,61.77,2,0,1.0,318.79,1
3370,Monroe,36.0,East,Female,67.0,20,52.36,3,1,0.0,968.32,1
3449,Jennings,42.0,South,Male,55.0,19,100.38,1,0,0.0,421.21,1
4601,Frazier,41.0,South,Other,64.0,20,58.08,3,1,1.0,871.5,1
2631,French,72.0,East,Male,64.0,17,156.4,4,0,1.0,412.59,0
5336,Singh,81.0,East,Female,30.0,9,162.74,2,1,0.0,152.31,1
2651,Roman,10.0,East,Female,24.0,14,110.12,4,0,0.0,909.37,1
4533,Montgomery,78.0,East,Female,54.0,13,138.86,2,0,0.0,,0
3791,Moreno,,West,Male,34.0,2,34.81,1,1,1.0,216.31,1
4438,Thomas,69.0,East,Other,36.0,7,164.78,4,1,1.0,302.89,0
3893,Walls,80.0,North,Female,32.0,2,186.72,4,1,,394.42,1
5372,Wilson,73.0,West,Male,25.0,8,180.11,3,0,1.0,501.34,1
2688,Robbins,98.0,South,Male,45.0,12,56.43,4,0,0.0,797.37,0
640,Brown,83.0,North,Other,40.0,17,155.9,2,1,0.0,280.26,0
4875,Smith,67.0,West,Female,63.0,4,100.79,4,0,0.0,472.3,1
751,Underwood,93.0,East,Other,67.0,18,65.31,2,1,0.0,115.37,0
5382,Hammond,4.0,East,Other,63.0,4,163.71,2,1,1.0,778.49,1
3473,Chapman,93.0,West,Female,32.0,14,193.04,4,1,0.0,205.66,1
5201,Anthony,96.0,West,Male,57.0,18,80.22,4,0,,970.36,0
2472,Miller,80.0,North,Other,,16,44.02,3,1,1.0,327.83,0
2434,Gonzalez,88.0,North,Female,69.0,13,96.9,1,0,0.0,752.12,1
1245,Bradshaw,62.0,East,Male,47.0,6,67.13,2,1,0.0,397.07,0
3858,Moore,87.0,East,Other,56.0,11,51.95,2,0,1.0,891.39,0
4810,Munoz,42.0,West,Female,30.0,0,91.47,2,1,1.0,162.58,1
3929,Torres,,North,Male,19.0,0,35.37,2,0,0.0,588.77,0
127,Rogers,11.0,North,Other,44.0,19,100.45,2,1,0.0,216.62,1
2726,Jones,25.0,South,Female,21.0,7,127.14,1,0,0.0,382.2,1
974,Cowan,39.0,North,Male,69.0,5,140.73,1,0,0.0,377.08,1
4564,Munoz,68.0,North,Other,41.0,3,37.2,1,1,0.0,422.16,0
3794,Moore,17.0,North,Male,46.0,3,127.18,3,0,1.0,851.47,0
1757,Reyes,28.0,East,Male,22.0,14,133.17,1,1,1.0,797.28,1
1645,Davidson,93.0,North,Male,42.0,2,152.98,3,0,1.0,312.74,0
1646,Rodriguez,53.0,East,Male,50.0,7,111.52,1,1,1.0,392.4,0
3337,Fields,96.0,North,Male,42.0,5,145.92,3,0,0.0,537.6,1
1606,Rodriguez,19.0,South,Female,69.0,5,32.44,1,1,0.0,358.98,0
3144,King,35.0,North,Female,30.0,13,72.89,1,1,0.0,145.43,1
814,Woods,3.0,North,Other,63.0,0,147.82,1,0,1.0,708.05,0
488,Harris,31.0,North,Male,47.0,3,185.64,2,1,1.0,435.12,1
3997,Madden,18.0,South,Female,,19,140.94,4,1,1.0,291.17,1
1942,Newton,89.0,South,Other,61.0,12,93.77,3,1,0.0,293.8,0
3863,Ruiz,13.0,South,Other,,6,136.54,2,1,1.0,242.83,0
1394,Vega,11.0,North,Female,63.0,9,176.96,4,1,0.0,587.03,1
422,Bennett,69.0,East,Female,70.0,10,127.87,2,0,0.0,696.84,1
4945,Brennan,85.0,West,Male,23.0,8,158.32,3,1,0.0,215.77,1
883,Cross,52.0,East,Female,45.0,3,178.42,3,1,0.0,495.2,1
3111,Ochoa,68.0,East,Female,70.0,12,63.73,2,1,0.0,712.14,1
3196,Adams,29.0,South,Other,59.0,14,107.83,1,0,1.0,568.44,0
3656,Johnson,5.0,West,Female,26.0,8,32.52,1,1,0.0,257.88,1
3561,Carroll,59.0,West,Male,43.0,16,177.91,1,0,0.0,512.78,1
3723,Munoz,19.0,East,Male,47.0,7,126.27,2,1,0.0,102.3,1
3890,Wright,94.0,East,Other,33.0,8,195.36,3,1,1.0,238.74,0
3383,Cannon,40.0,South,Male,46.0,17,30.83,3,1,1.0,901.78,0
5130,Soto,79.0,North,Female,56.0,9,154.62,1,1,0.0,542.14,1
3615,Webb,44.0,East,Female,54.0,5,166.56,2,1,0.0,509.9,1
5673,Palmer,48.0,North,Female,24.0,10,44.35,4,1,1.0,979.62,1
557,Dalton,,South,Female,62.0,9,163.14,4,0,0.0,424.3,1
3250,Brown,55.0,West,Other,26.0,12,166.84,3,1,1.0,219.9,0
4957,Dawson,73.0,South,Other,40.0,11,136.67,1,0,,727.44,0
3889,Martin,7.0,South,Male,47.0,0,147.66,1,1,0.0,972.08,1
4368,Moreno,85.0,North,Female,65.0,6,69.39,2,0,1.0,864.46,1
5856,Bennett,54.0,East,Female,68.0,19,100.2,4,1,1.0,560.48,1
1783,Simon,10.0,South,Female,63.0,12,112.98,4,0,0.0,728.31,0
1816,Hicks,26.0,South,Male,52.0,15,160.64,3,1,0.0,868.37,1
3993,Page,79.0,West,Female,20.0,18,168.44,2,0,1.0,873.56,1
5001,Reid,31.0,North,Female,50.0,2,121.92,2,1,0.0,730.36,1
4209,Bolton,86.0,East,Female,60.0,17,159.57,3,1,1.0,765.36,1
4623,Ferguson,62.0,West,Other,32.0,13,98.66,1,1,1.0,162.3,1
5905,Rivera,70.0,West,Female,25.0,7,157.69,3,1,0.0,695.4,0
4306,Thompson,99.0,West,Female,39.0,14,53.85,1,0,1.0,118.66,1
4941,Ayala,95.0,West,Other,55.0,7,140.14,4,1,0.0,131.73,1
4580,Duffy,25.0,West,Male,59.0,1,186.64,2,0,0.0,175.97,1
1630,Pena,44.0,North,Other,,16,87.9,3,0,1.0,520.67,0
1560,Black,73.0,West,Female,44.0,0,90.01,4,1,0.0,213.75,0
4027,Barker,98.0,West,Other,64.0,2,114.9,1,1,0.0,920.22,1
3878,Hoffman,47.0,East,Female,21.0,17,33.14,2,0,0.0,859.3,1
1254,Russell,32.0,East,Other,33.0,19,173.47,1,1,1.0,604.24,1
1210,Ray,66.0,South,Female,42.0,11,146.17,2,0,1.0,817.9,1
4675,Rodriguez,19.0,South,Male,54.0,0,45.6,1,1,1.0,261.71,1
4444,Lang,21.0,North,Other,51.0,4,173.48,1,0,0.0,883.48,1
1981,Lewis,10.0,North,Female,57.0,11,53.83,4,0,1.0,612.59,0
4869,Walters,84.0,East,Other,52.0,15,181.56,3,1,0.0,560.73,1
4078,Hinton,61.0,North,Female,65.0,10,70.46,1,0,1.0,595.38,1
1721,Jackson,83.0,South,Male,48.0,4,102.15,4,1,0.0,946.1,0
4497,Martinez,97.0,North,Female,33.0,18,63.77,1,1,0.0,330.63,1
2334,Chan,75.0,South,Other,27.0,0,190.59,3,0,0.0,279.41,1
3504,Howard,65.0,West,Female,22.0,20,64.0,3,1,0.0,331.65,1
5648,Leon,61.0,East,Female,19.0,17,125.19,1,1,1.0,360.44,1
171,Sutton,97.0,South,Male,62.0,10,36.3,2,0,1.0,407.11,0
4362,Mcdaniel,95.0,North,Male,29.0,13,83.55,2,1,0.0,256.81,0
681,Rose,,East,Male,23.0,17,149.36,3,1,1.0,926.6,1
4074,Holmes,51.0,North,Male,49.0,19,110.42,1,1,1.0,160.35,1
3925,Knox,55.0,West,Female,25.0,12,145.47,3,0,0.0,946.43,1
399,Wilson,55.0,East,Female,43.0,4,72.42,4,0,1.0,960.86,0
5957,Stanley,62.0,West,Female,23.0,8,152.81,1,0,1.0,222.33,1
707,Sellers,29.0,North,Other,66.0,0,44.2,4,1,,670.16,0
4990,Haynes,21.0,West,Female,67.0,4,93.38,4,1,1.0,577.27,0
1284,Moore,85.0,South,Male,59.0,16,141.12,3,1,0.0,776.26,1
3447,Williams,74.0,West,Female,33.0,11,58.22,2,0,0.0,430.45,1
828,Bauer,,East,Other,24.0,16,141.55,4,0,1.0,812.14,1
207,Singh,27.0,East,Female,32.0,0,127.09,1,0,0.0,452.48,1
2757,Bentley,40.0,South,Female,29.0,12,102.4,2,1,1.0,740.23,1
3115,Todd,5.0,South,Other,19.0,10,176.51,1,1,1.0,521.01,1
2411,Johnson,51.0,South,Other,42.0,13,196.46,4,0,1.0,325.34,0
2253,Miller,62.0,West,Male,69.0,6,89.1,2,1,1.0,776.26,0
3796,Mendez,8.0,West,Female,49.0,12,111.66,3,0,0.0,158.03,1
469,Dorsey,80.0,North,Male,52.0,4,59.58,4,1,1.0,954.92,0
2272,Lloyd,39.0,North,Female,61.0,2,62.6,3,1,1.0,499.44,1
1141,Ellis,77.0,West,Other,57.0,18,65.91,1,0,1.0,737.81,0
1134,Smith,91.0,North,Other,43.0,15,60.73,4,0,1.0,510.06,0
378,Thompson,16.0,East,Female,42.0,20,115.49,1,1,1.0,330.68,1
3502,Pratt,34.0,East,Male,69.0,12,53.39,4,1,0.0,409.18,0
3121,Browning,81.0,South,Male,70.0,4,197.41,2,0,0.0,481.22,0
986,Hill,79.0,North,Male,46.0,20,182.56,2,1,0.0,809.24,0
4116,Tucker,59.0,South,Other,18.0,13,162.95,3,0,1.0,821.02,1
1313,Schroeder,61.0,East,Female,18.0,0,60.77,2,0,0.0,769.38,1
103,Gonzales,52.0,South,Other,39.0,1,84.38,3,0,1.0,751.71,0
4857,Pope,77.0,West,Other,,11,180.68,4,1,,346.61,0
4311,Hudson,98.0,West,Female,33.0,2,130.73,3,0,1.0,252.58,1
1898,Walker,98.0,West,Male,50.0,4,96.22,3,0,0.0,611.96,0
2711,Martinez,15.0,West,Male,23.0,13,46.75,4,1,0.0,829.9,0
4632,Butler,6.0,North,Female,44.0,8,96.53,1,1,0.0,249.82,1
1178,Rivera,17.0,West,Other,61.0,6,115.7,2,1,0.0,943.25,1
5003,Huang,3.0,West,Female,45.0,20,123.55,2,1,,172.84,0
942,Taylor,31.0,West,Female,42.0,3,83.75,4,0,1.0,413.11,0
5011,Rhodes,66.0,West,Male,58.0,11,114.11,2,1,0.0,203.25,0
3053,Harrison,19.0,North,Male,35.0,8,67.56,3,0,0.0,162.58,0
4993,Hamilton,51.0,South,Other,36.0,9,41.01,1,1,0.0,458.37,0
2783,Mccarthy,25.0,North,Other,38.0,2,125.61,1,0,0.0,591.22,0
1906,Reed,80.0,East,Other,33.0,2,186.56,2,1,1.0,515.06,1
5641,Young,91.0,North,Female,43.0,14,194.63,3,0,0.0,380.02,0
4775,Stone,,East,Other,47.0,0,92.95,3,0,0.0,504.13,0
43,Bradshaw,19.0,East,Female,29.0,18,79.94,4,1,1.0,944.07,1
4599,Chang,,North,Male,48.0,2,186.71,2,0,1.0,244.67,0
1271,Gibson,21.0,North,Other,51.0,13,117.71,4,1,1.0,731.09,0
4387,Rice,47.0,South,Female,58.0,5,46.95,3,1,0.0,499.2,1
2682,Nielsen,89.0,North,Female,38.0,1,169.25,3,0,0.0,842.98,1
3457,Rice,78.0,West,Other,36.0,17,58.67,4,1,0.0,159.85,0
3775,Bird,42.0,North,Other,67.0,8,124.05,2,1,1.0,502.75,0
3024,Martin,19.0,East,Other,58.0,20,81.74,2,0,0.0,295.21,0
2210,Cox,1.0,South,Male,23.0,4,159.96,1,0,,673.3,0
1481,Parker,33.0,West,Female,48.0,13,117.64,2,0,1.0,999.44,0
912,Casey,64.0,South,Male,33.0,4,27.58,1,0,1.0,383.99,1
3280,Allen,17.0,West,Male,32.0,13,134.1,3,0,0.0,744.38,0
3036,Reid,95.0,North,Other,38.0,12,169.06,4,0,0.0,598.75,1
5028,Davis,55.0,East,Male,38.0,12,124.56,4,1,1.0,301.52,0
4496,Chambers,52.0,East,Other,40.0,2,89.78,1,0,1.0,764.7,0
2043,Hunt,32.0,South,Male,29.0,6,44.97,2,0,0.0,130.94,1
2732,Holden,64.0,West,Male,69.0,11,113.98,4,1,0.0,468.96,0
94,Garcia,4.0,South,Male,31.0,18,43.68,2,1,1.0,279.36,1
5100,Kennedy,84.0,South,Male,19.0,1,167.64,3,1,1.0,562.2,0
652,Roy,74.0,South,Male,24.0,7,101.91,3,1,0.0,894.56,1
4557,Sosa,42.0,East,Male,68.0,18,103.73,4,1,0.0,569.23,0
1984,Collins,46.0,South,Male,21.0,9,54.83,2,0,1.0,801.02,1
3281,Waller,84.0,North,Other,,15,142.69,4,0,0.0,338.31,0
163,Ruiz,27.0,North,Other,30.0,8,66.49,3,0,1.0,636.83,1
2491,Wagner,58.0,West,Male,46.0,10,45.65,3,1,0.0,258.1,1
1944,Price,71.0,West,Other,,9,23.53,2,1,1.0,382.96,0
2270,Gutierrez,45.0,North,Female,35.0,9,158.55,1,1,1.0,327.45,0
4922,Floyd,68.0,North,Male,56.0,4,163.89,2,1,0.0,538.56,1
302,Smith,79.0,West,Other,29.0,10,135.45,2,0,0.0,341.77,1
4969,Sanders,19.0,West,Other,26.0,9,79.05,2,0,1.0,600.4,1
5084,Goodwin,70.0,South,Female,50.0,15,49.62,1,0,1.0,104.22,1
4664,Jackson,60.0,West,Other,39.0,5,134.23,3,1,0.0,342.93,1
5640,Hunter,6.0,East,Male,37.0,20,116.6,3,0,0.0,902.39,1
5748,Houston,2.0,West,Female,30.0,0,43.96,4,1,,,1
3588,Krueger,13.0,East,Female,64.0,11,149.84,1,1,0.0,880.99,1
5414,Vaughan,27.0,East,Female,64.0,11,167.7,2,0,0.0,904.45,1
4047,Joyce,24.0,West,Male,40.0,12,42.88,2,0,1.0,750.09,0
834,Stone,54.0,East,Other,19.0,19,95.96,2,0,0.0,802.23,1
216,Morrison,58.0,South,Other,62.0,4,170.64,3,0,1.0,279.72,0
1277,Foster,58.0,North,Other,67.0,11,80.26,2,1,1.0,883.13,0
5043,Wagner,45.0,South,Other,69.0,14,41.66,3,1,1.0,126.58,1
3162,Wilson,54.0,East,Male,31.0,10,188.26,2,1,0.0,501.97,1
3127,Walters,83.0,South,Other,42.0,5,167.47,1,0,0.0,618.97,0
3194,Herrera,83.0,West,Other,59.0,9,158.93,4,0,0.0,321.52,1
4477,Martin,94.0,East,Other,46.0,8,61.62,1,0,1.0,378.15,0
2853,Hall,31.0,North,Female,58.0,14,59.27,1,0,1.0,306.11,0
3632,Bates,17.0,East,Female,67.0,19,162.4,1,0,0.0,700.63,1
2644,Alvarez,6.0,South,Male,58.0,4,75.79,2,0,1.0,184.59,0
2551,White,40.0,East,Male,66.0,4,86.77,1,1,1.0,763.23,0
78,Brown,8.0,East,Female,41.0,5,197.83,1,0,1.0,445.64,1
3081,Harding,28.0,East,Female,54.0,16,132.96,3,1,0.0,470.74,1
5037,Pennington,100.0,East,Female,51.0,2,112.7,1,1,0.0,323.32,0
1207,Phillips,39.0,North,Male,49.0,8,160.25,3,0,0.0,672.08,1
4084,Williams,40.0,North,Female,69.0,4,173.37,3,0,1.0,826.41,1
3537,Lee,95.0,East,Male,22.0,9,112.73,4,0,1.0,686.79,1
1719,Cooper,24.0,East,Female,51.0,14,109.95,2,1,1.0,993.15,1
3011,Wilson,85.0,North,Male,36.0,16,76.92,2,1,0.0,685.48,0
4539,Mitchell,33.0,North,Male,39.0,5,173.51,1,1,0.0,649.64,0
2035,James,15.0,North,Other,26.0,16,142.69,3,1,0.0,493.45,0
5788,Alvarado,99.0,North,Other,35.0,12,26.9,1,0,0.0,692.99,0
398,Hines,58.0,North,Female,22.0,20,30.1,3,0,1.0,177.53,1
2489,James,18.0,South,Female,60.0,15,136.52,2,0,0.0,,1
2494,Delgado,31.0,East,Female,48.0,1,27.72,3,1,,235.49,0
2989,Lynch,77.0,North,Other,66.0,0,56.42,3,1,1.0,688.41,0
1020,Murphy,44.0,North,Male,43.0,17,185.25,1,0,1.0,195.69,0
3942,Bryan,5.0,West,Other,55.0,0,60.88,3,1,1.0,423.58,0
1859,Boyd,68.0,North,Female,19.0,15,158.35,1,0,1.0,302.7,1
2550,White,78.0,East,Male,33.0,6,169.48,4,1,0.0,332.99,1
4467,Brown,12.0,East,Female,53.0,7,66.87,4,1,1.0,262.31,1
249,Watson,19.0,North,Other,29.0,3,134.14,4,1,0.0,837.9,1
3576,Klein,54.0,South,Male,52.0,19,21.56,1,1,0.0,935.15,0
2417,Johnson,36.0,South,Female,29.0,10,64.5,4,0,0.0,230.5,1
3265,Diaz,70.0,North,Male,39.0,17,27.38,1,0,0.0,405.97,0
1272,Moon,78.0,East,Other,19.0,2,131.26,4,1,1.0,518.11,0
1775,Bush,70.0,West,Male,57.0,11,93.51,2,0,1.0,861.48,0
4142,Ramirez,,North,Female,67.0,13,27.69,1,0,1.0,132.48,1
952,Mccormick,38.0,East,Male,24.0,17,41.42,3,0,1.0,315.77,0
5842,Cardenas,77.0,South,Other,26.0,16,23.45,2,0,0.0,524.83,1
716,Curry,,South,Male,19.0,4,50.22,1,0,0.0,959.03,0
2957,Foster,37.0,South,Male,65.0,6,129.77,2,1,1.0,373.24,0
124,Villarreal,75.0,South,Female,27.0,9,170.27,3,0,0.0,134.38,1
3874,Castillo,10.0,North,Female,56.0,10,22.27,4,1,0.0,539.72,1
